,cell_type,MYH7,MYH2,PAX7,PDGFRA,COL1A1,FABP4,CD68,PECAM1,TGFB1,IL6,TNF,MSTN,UTRN,TTN,ACTA1,GENE_0000,GENE_0001,GENE_0002,GENE_0003,GENE_0004,GENE_0005,GENE_0006,GENE_0007,GENE_0008,GENE_0009,GENE_0010,GENE_0011,GENE_0012,GENE_0013,GENE_0014,GENE_0015,GENE_0016,GENE_0017,GENE_0018,GENE_0019,GENE_0020,GENE_0021,GENE_0022,GENE_0023,GENE_0024,GENE_0025,GENE_0026,GENE_0027,GENE_0028,GENE_0029,GENE_0030,GENE_0031,GENE_0032,GENE_0033,GENE_0034,GENE_0035,GENE_0036,GENE_0037,GENE_0038,GENE_0039,GENE_0040,GENE_0041,GENE_0042,GENE_0043,GENE_0044,GENE_0045,GENE_0046,GENE_0047,GENE_0048,GENE_0049,GENE_0050,GENE_0051,GENE_0052,GENE_0053,GENE_0054,GENE_0055,GENE_0056,GENE_0057,GENE_0058,GENE_0059,GENE_0060,GENE_0061,GENE_0062,GENE_0063,GENE_0064,GENE_0065,GENE_0066,GENE_0067,GENE_0068,GENE_0069,GENE_0070,GENE_0071,GENE_0072,GENE_0073,GENE_0074,GENE_0075,GENE_0076,GENE_0077,GENE_0078,GENE_0079,GENE_0080,GENE_0081,GENE_0082,GENE_0083,GENE_0084
TYPE_0053,TypeI_Fiber,38.0,40.0,0.0,2.0,0.0,3.0,4.0,4.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,4.0,2.0,0.0,5.0,3.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,4.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,7.0,2.0,2.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0
TYPE_0054,TypeI_Fiber,42.0,42.0,4.0,3.0,1.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,1.0,5.0,1.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,5.0,1.0,0.0,1.0,0.0,6.0,1.0,6.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,5.0,1.0,0.0,4.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,3.0,4.0
TYPE_0055,TypeI_Fiber,42.0,49.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,6.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,0.0,2.0,0.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,6.0,4.0,2.0,1.0,2.0,7.0,3.0,4.0,1.0,5.0,2.0,3.0,2.0,2.0,0.0
TYPE_0056,TypeI_Fiber,46.0,35.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,6.0,1.0,0.0,2.0,2.0,8.0,4.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,6.0,0.0,3.0,3.0,5.0,2.0,1.0,2.0,5.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,0.0,1.0,3.0,1.0,1.0
TYPE_0057,TypeI_Fiber,50.0,42.0,1.0,3.0,0.0,2.0,3.0,3.0,3.0,0.0,2.0,5.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,4.0,5.0,1.0,5.0,1.0,0.0,3.0,1.0,1.0,2.0
TYPE_0058,TypeI_Fiber,44.0,53.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,7.0,0.0,1.0,2.0,3.0,4.0,2.0,0.0,1.0,0.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,3.0,3.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,6.0,3.0,5.0,2.0,3.0,4.0,1.0,4.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,8.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,5.0,2.0,2.0,2.0
TYPE_0059,TypeI_Fiber,47.0,51.0,4.0,1.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,5.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,5.0,3.0,3.0,0.0,1.0,4.0,0.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0,4.0,3.0,4.0,0.0,4.0,3.0,1.0,1.0,5.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,0.0,3.0,0.0,2.0
TYPE_0060,TypeI_Fiber,49.0,45.0,2.0,3.0,3.0,4.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,7.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,5.0,3.0,2.0,2.0,3.0,2.0
TYPE_0001,TypeII_Fiber,4.0,47.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,2.0,5.0,4.0,4.0,2.0
TYPE_0002,TypeII_Fiber,1.0,46.0,4.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,5.0,2.0,2.0,1.0,0.0,4.0,0.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,6.0,1.0,7.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0
TYPE_0003,TypeII_Fiber,3.0,36.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,4.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,0.0,5.0,1.0,3.0,0.0,3.0,3.0,3.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0
TYPE_0004,TypeII_Fiber,2.0,52.0,5.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,4.0,3.0,3.0,0.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0,0.0,3.0,5.0,1.0,4.0,1.0,4.0,0.0,3.0,2.0,3.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,0.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0
TYPE_0005,TypeII_Fiber,0.0,52.0,3.0,4.0,3.0,1.0,2.0,3.0,0.0,3.0,0.0,1.0,4.0,1.0,0.0,2.0,3.0,4.0,1.0,0.0,2.0,0.0,2.0,3.0,6.0,2.0,3.0,0.0,6.0,1.0,5.0,2.0,4.0,3.0,0.0,2.0,6.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,3.0,2.0,2.0,7.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,3.0,1.0,2.0,4.0,5.0,6.0,5.0,2.0,2.0,0.0,7.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0
TYPE_0006,TypeII_Fiber,2.0,39.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,5.0,4.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,5.0,2.0,2.0,0.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,4.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0
TYPE_0007,TypeII_Fiber,3.0,45.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,0.0,2.0,2.0,6.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0
TYPE_0008,TypeII_Fiber,1.0,41.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0,6.0,1.0,2.0,6.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,2.0,4.0,2.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,4.0,1.0,5.0,3.0,3.0,1.0,4.0,1.0,7.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,2.0
TYPE_0009,TypeII_Fiber,0.0,41.0,5.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,0.0,5.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,6.0,2.0,4.0,2.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,4.0,2.0,3.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0
TYPE_0010,TypeII_Fiber,2.0,45.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,0.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,5.0,6.0,2.0,4.0,7.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,5.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,4.0,3.0,2.0,5.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,3.0
TYPE_0011,TypeII_Fiber,5.0,40.0,1.0,1.0,3.0,1.0,3.0,0.0,3.0,2.0,1.0,1.0,6.0,8.0,5.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,4.0,3.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,6.0,0.0,5.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,3.0,2.0,0.0,4.0,1.0,0.0,4.0,0.0,3.0,2.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0,1.0,3.0
TYPE_0012,TypeII_Fiber,1.0,49.0,0.0,4.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,5.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,5.0,2.0,2.0,5.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,5.0,3.0,10.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,6.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0
TYPE_0013,TypeII_Fiber,1.0,42.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,5.0,4.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,0.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,5.0,0.0,2.0,3.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0,5.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,6.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,0.0
TYPE_0014,TypeII_Fiber,1.0,46.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,6.0,0.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,3.0,1.0,5.0,1.0,2.0,3.0,0.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,0.0,2.0,1.0,4.0,3.0,2.0,1.0,0.0,3.0
TYPE_0015,TypeII_Fiber,4.0,51.0,1.0,4.0,4.0,2.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,6.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,5.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0
TYPE_0016,TypeII_Fiber,0.0,46.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,1.0,4.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,0.0
TYPE_0017,TypeII_Fiber,2.0,47.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,5.0,5.0,3.0,1.0,2.0,1.0,4.0,0.0,2.0,1.0,1.0,2.0,3.0,5.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,5.0,3.0,1.0,3.0,4.0,4.0,0.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,5.0,3.0
TYPE_0018,TypeII_Fiber,3.0,43.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,5.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,5.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,3.0,5.0,1.0,5.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,0.0,2.0,3.0,4.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0
TYPE_0019,TypeII_Fiber,3.0,43.0,3.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0,3.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,3.0,4.0,0.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,4.0,6.0,3.0,2.0,4.0,0.0,2.0,0.0,1.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,6.0,7.0,2.0,2.0,1.0,0.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0
TYPE_0020,TypeII_Fiber,2.0,51.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,0.0,4.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,0.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,4.0,3.0,0.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,4.0,2.0,5.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0
TYPE_0021,TypeII_Fiber,1.0,47.0,4.0,0.0,3.0,1.0,2.0,2.0,0.0,3.0,4.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,7.0,3.0,3.0,4.0,4.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,7.0,1.0,3.0,3.0,5.0,0.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,0.0,2.0,1.0
TYPE_0022,TypeII_Fiber,2.0,43.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,2.0,5.0,1.0,5.0,1.0,1.0,3.0,6.0,1.0,5.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,0.0,5.0,2.0,3.0,6.0,1.0,3.0,5.0,1.0
TYPE_0023,TypeII_Fiber,3.0,46.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,1.0,3.0,4.0,1.0,5.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,0.0,1.0,3.0,4.0,3.0,4.0,0.0,4.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,0.0,4.0,3.0,5.0,5.0,2.0,1.0,0.0,1.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,2.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,2.0
