gene,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_5,Ctrl_6,DMD_1,DMD_2,DMD_3,DMD_4,DMD_5,DMD_6
GENE_0408,43,33,56,31,50,47,55,37,59,29,53,42
GENE_0409,57,50,55,61,49,53,40,46,69,65,36,65
GENE_0410,39,51,49,42,47,63,33,43,43,43,48,62
GENE_0411,58,54,42,60,53,44,65,48,49,48,61,48
GENE_0412,44,43,60,47,41,52,48,42,66,35,49,38
GENE_0413,63,50,42,56,65,49,49,52,48,41,81,62
GENE_0414,52,50,69,45,43,42,55,49,78,40,42,52
GENE_0415,30,37,36,55,35,49,38,46,30,46,30,47
GENE_0416,59,40,53,45,67,44,52,36,56,52,76,52
GENE_0417,65,37,52,67,49,51,46,26,61,68,51,37
GENE_0418,60,53,31,72,46,38,51,57,37,90,46,39
GENE_0419,54,44,37,43,43,54,64,44,37,53,50,67
GENE_0420,47,41,43,57,50,46,39,41,51,43,58,37
GENE_0421,74,75,54,59,47,40,87,80,44,58,52,43
GENE_0422,52,58,70,60,61,38,49,71,70,60,44,47
GENE_0423,38,42,41,45,63,42,30,42,48,37,64,35
GENE_0424,53,56,55,53,54,41,61,58,66,65,58,46
GENE_0425,47,47,52,44,68,55,48,43,56,54,64,48
GENE_0426,61,33,43,45,66,45,56,31,31,44,65,47
GENE_0427,51,47,41,52,62,57,46,50,50,66,65,41
GENE_0428,54,48,62,41,42,41,69,53,55,32,33,32
GENE_0429,47,37,48,54,44,44,34,45,49,60,52,51
GENE_0430,47,43,40,49,40,49,57,55,38,62,45,36
GENE_0431,63,43,58,57,51,46,69,47,72,52,53,32
GENE_0432,64,53,53,45,45,41,57,39,53,53,37,41
GENE_0433,62,40,57,46,42,50,50,30,57,34,44,35
GENE_0434,48,50,48,40,39,55,36,51,50,28,40,66
GENE_0435,47,45,62,64,50,31,53,35,65,70,36,37
GENE_0436,47,60,53,49,57,54,58,72,63,56,61,59
GENE_0437,56,40,51,62,42,33,66,43,45,57,52,23
GENE_0438,43,59,50,53,35,37,48,75,56,68,38,26
GENE_0439,45,66,64,33,43,52,53,57,61,29,37,49
GENE_0440,57,40,57,56,54,54,52,43,67,49,44,59
GENE_0441,51,51,57,45,50,54,56,63,40,54,50,57
GENE_0442,48,60,44,36,39,43,36,57,36,30,39,51
GENE_0443,73,38,38,45,35,53,83,40,38,43,44,54
GENE_0444,35,42,48,75,52,44,29,35,51,76,36,52
GENE_0445,57,56,56,46,46,39,63,61,41,42,58,47
GENE_0446,30,35,35,25,47,40,26,27,33,22,52,51
GENE_0447,39,48,52,54,61,60,35,35,64,39,77,65
GENE_0448,60,57,48,54,49,45,75,46,34,53,47,40
GENE_0449,42,54,38,65,51,47,53,64,41,51,58,53
GENE_0450,45,59,52,45,52,42,42,74,41,38,38,49
GENE_0451,51,49,63,46,46,37,54,43,50,33,36,35
GENE_0452,49,53,75,58,35,49,41,45,91,58,39,35
GENE_0453,49,54,40,49,38,49,45,53,32,37,46,61
GENE_0454,44,45,40,44,63,46,32,40,50,32,68,59
GENE_0455,38,59,30,59,44,59,48,57,23,48,54,73
GENE_0456,42,48,56,45,68,55,44,55,64,49,81,61
GENE_0457,64,57,38,53,53,50,65,48,43,52,46,59
GENE_0458,43,54,67,43,50,37,48,68,53,46,42,45
GENE_0459,42,66,51,69,33,51,31,72,59,62,41,61
condition,Control,Control,Control,Control,Control,Control,DMD,DMD,DMD,DMD,DMD,DMD
